player_type,category,metric_key,metric,occurrences,matches,players,pct_non_null,avg_value
outfield,top_stats,expected_goals_on_target_variant,Expected goals on target (xGOT),1738,262,449,47%,0.403
outfield,top_stats,blocked_shots,Blocked shots,1634,262,339,100%,1.241
outfield,top_stats,big_chance_created_team_title,Big chances created,788,244,233,100%,1.132
outfield,top_stats,physical_metrics_distance_covered,Distance covered,114,4,46,100%,7369.895
outfield,top_stats,physical_metrics_topspeed,Top speed,114,4,46,100%,28.904
outfield,top_stats,errors_led_to_goal,Error led to goal,78,66,31,100%,1.0
outfield,top_stats,conceded_penalties,Conceded penalty,70,52,33,100%,1.0
outfield,top_stats,penalties_won,Penalties won,60,52,29,100%,1.033
outfield,top_stats,owngoal,Own goal,20,20,10,100%,1.0
outfield,top_stats,missed_penalty,Missed penalty,14,14,7,100%,1.143
